,E (eV),I (erg/s/cm**2)
0,6.802851988,0.0005092855927905179
1,7.042754045265218,0.0005277891465937165
2,7.2911162302986705,0.038839128943950266
3,7.548236888881904,0.0005617207174298074
4,7.814424887910474,0.0005785606140658679
5,8.0899999864351,0.0005948267857860284
6,8.375293219832324,0.0006094027850223257
7,8.670647297390389,0.0006230498201698623
8,8.976417013977027,0.000634581595739687
9,9.292969676346978,0.0006434745594570849
10,9.620685544252527,0.0006483171182899719
11,9.95995828726861,0.0006453080914649555
12,10.311195457727088,0.0006115007809893925
13,10.674818980263586,0.0005914771597670818
14,11.051265658616357,0.0005608568072156728
15,11.440987700425495,0.0005140317744865999
16,11.844453260345427,0.0004543975022167754
17,12.26214700251832,0.00037666885952510103
18,12.694570682694135,0.00027733969992679977
19,13.142243751017716,0.00015282400912682064
20,13.605703976,2.2085493343526488e-06
21,14.085508090503225,1.9932234375318347e-06
22,14.582232460651763,1.8921342919547284e-06
23,15.096473777791019,1.8230132510369498e-06
24,15.62884977584816,1.7811498112444035e-06
25,16.17999997284299,1.7623246041554337e-06
26,16.750586439610224,1.7628183415210839e-06
27,17.341294594780777,1.7794055323205067e-06
28,17.95283402792684,1.8093357266237866e-06
29,18.585939352639535,1.8503048451753475e-06
30,19.241371088450634,1.900418847609984e-06
31,19.91991657459164,1.958151743080343e-06
32,20.622390915454176,2.02229985897805e-06
33,21.349637960472748,2.0919343681704175e-06
34,22.102531317205504,2.1663542421511343e-06
35,22.8819754008782,2.2450418961145087e-06
36,23.688906520663643,2.3276236580333574e-06
37,24.52429400500943,2.4963442162389476e-06
38,25.389141365333845,2.5035034084090774e-06
39,26.284487502035432,2.5965125821812555e-06
40,27.211407952,2.6928069183356662e-06
41,28.17101618100645,2.7923741142655415e-06
42,29.16446492116747,2.8952397471347614e-06
43,30.192947555582037,3.001459853707984e-06
44,31.25769955156026,3.111112118075857e-06
45,32.35999994582204,3.224285681100028e-06
46,33.50117287935651,3.3410706860985165e-06
47,34.682589189561554,3.4615493988866686e-06
48,35.90566805598974,3.5857907733643943e-06
49,37.171878705415125,3.713849453669779e-06
50,38.48274217703732,3.84576599651556e-06
51,39.83983314904722,3.981550152530149e-06
52,41.24478183090835,4.120826517882637e-06
53,42.69927592108156,4.262263480327082e-06
54,44.20506263441101,4.399957843827974e-06
55,45.76395080162035,4.503488542200433e-06
56,47.377813041327286,4.512118516523204e-06
57,49.04858801001886,4.248436783850265e-06
58,50.778282730803745,3.3201284930830466e-06
59,52.568975004070865,9.401541509881467e-07
60,54.422815904,3.2939783767782475e-39
61,56.342032362148956,4.4088515826751826e-39
62,58.328929842471,2.78653917892413e-37
63,60.38589511102802,1.4630124631028855e-35
64,62.51539910325658,6.32678109544033e-34
65,64.71999989150801,2.2524792274427787e-32
66,67.00234575871302,6.6210897861564645e-31
67,69.36517837912311,1.6139803486814676e-29
68,71.81133611184343,3.279701884900287e-28
69,74.34375741083025,5.587747618194963e-27
70,76.96548435393859,8.03103711000063e-26
71,79.67966629809445,9.80007920716548e-25
72,82.4895636618167,1.0220958792357096e-23
73,85.39855184202706,9.172745506638928e-23
74,88.41012526895807,7.132276843895342e-22
75,91.52790160337675,4.83797523389827e-21
76,94.75562608279063,2.8825681433438345e-20
77,98.09717602017378,1.5188643388024477e-19
78,101.55656546147144,7.124863192224445e-19
79,105.13795000814173,2.9949055637954604e-18
80,108.845631808,1.1352522078189829e-17
81,112.68406472416184,3.9045302546396764e-17
82,116.65785968480594,1.2256842919121602e-16
83,120.77179022205604,3.5316892813256407e-16
84,125.03079820651315,9.391412106450735e-16
85,129.43999978301602,2.3166592612885713e-15
86,134.00469151742604,5.327247208302019e-15
87,138.73035675879046,1.1472831117242851e-14
88,143.62267222395897,2.3242289545311437e-14
89,148.68751482111628,4.4477812096713476e-14
90,153.9309687081493,8.072146746755439e-14
91,159.3593325967331,1.3946241845315886e-13
92,164.97912732390552,2.3020363181836193e-13
93,170.79710368350987,3.6428924504026274e-13
94,176.82025053791614,5.544769057848686e-13
95,183.0558032072977,8.142918644446849e-13
96,189.511252165037,1.157245717483454e-12
97,196.19435204061966,1.5960290744192973e-12
98,203.11313092321498,2.1417879924767196e-12
99,210.27590001628346,2.8035714190714143e-12
100,217.691263616,3.5880000102421694e-12
101,225.3681294488679,4.499166471205039e-12
102,233.315719369884,5.538743085782337e-12
103,241.54358044438416,6.706248620441171e-12
104,250.06159641357056,7.99941560731693e-12
105,258.8799995654878,9.414598560197502e-12
106,268.0093830345799,1.0947170936628254e-11
107,277.4607135162203,1.259187034246682e-11
108,287.24534444791794,1.4343064772013471e-11
109,297.3750296435931,1.6194925547075696e-11
110,307.8619374162986,1.8141503828966996e-11
111,318.7186651921057,2.017671656478182e-11
112,329.95825464781103,2.229425441905615e-11
113,341.5942073683803,2.4487428869404114e-11
114,353.6405010758323,2.6748978588804828e-11
115,366.1116064132348,2.907085687724038e-11
116,379.02250433143456,3.144402255199557e-11
117,392.3887040798788,3.385825649356639e-11
118,406.22626184642996,3.6302024973810944e-11
119,420.5518000325669,3.8762408793623715e-11
120,435.382527232,4.122511392260167e-11
121,450.7362588963753,4.3674574561557964e-11
122,466.631438739768,4.609415331383135e-11
123,483.0871608887683,4.84664356712857e-11
124,500.1231928257805,5.0773607843939664e-11
125,517.7599991323361,5.2997898922975623e-11
126,536.0187660691598,5.512206152046739e-11
127,554.9214270324406,5.7129860385945734e-11
128,574.4906888944753,5.900653686151994e-11
129,594.7500592858256,6.073921877854127e-11
130,615.7238748312366,6.231725029715504e-11
131,637.437330385572,6.373242359924636e-11
132,659.9165092942615,6.497910314780986e-11
133,683.1884147367606,6.60542422579248e-11
134,707.2810021516646,6.695729983754992e-11
135,732.2232128264696,6.769007154506338e-11
136,758.0450086628691,6.825645378641466e-11
137,784.7774081611182,6.8662160871124e-11
138,812.4525236928599,6.891441549997449e-11
139,841.1036000651338,6.902163097833362e-11
140,870.765054464,6.899310071320632e-11
141,901.4725177927506,6.88387071199683e-11
142,933.2628774781754,6.85686585480014e-11
143,966.1743217761763,6.819325951502448e-11
144,1000.246385651561,6.772271668046431e-11
145,1035.5199982646723,6.716698066440751e-11
146,1072.0375321396803,6.653562208434824e-11
147,1109.8428540648813,6.583773899287292e-11
148,1148.9813777903112,6.50818921701068e-11
149,1189.5001185730118,6.427606440133645e-11
150,1231.4477496638337,6.342763982105623e-11
151,1274.8746607697833,6.254339957297169e-11
152,1319.8330185898835,6.162953035134602e-11
153,1366.3768294762424,6.069164275026042e-11
154,1414.5620043087713,5.97347967900464e-11
