,E (eV),I (erg/s/cm**2)
0,6.802851988,4.594814896533302e-05
1,7.042754045265218,4.500876509852782e-05
2,7.2911162302986705,4.4255260516887436e-05
3,7.548236888881904,4.338129012591041e-05
4,7.814424887910474,4.238178838367414e-05
5,8.0899999864351,4.1251569807989714e-05
6,8.375293219832324,3.995781779082636e-05
7,8.670647297390389,3.854057130971635e-05
8,8.976417013977027,3.698506618325225e-05
9,9.292969676346978,3.5261908283324176e-05
10,9.620685544252527,3.338693088993864e-05
11,9.95995828726861,3.0873709588893016e-05
12,10.311195457727088,2.8014929755232666e-05
13,10.674818980263586,2.5593964111523652e-05
14,11.051265658616357,2.2978270878166732e-05
15,11.440987700425495,2.0130736631234162e-05
16,11.844453260345427,1.7085728789420393e-05
17,12.26214700251832,1.3829280568667472e-05
18,12.694570682694135,1.0339400353253667e-05
19,13.142243751017716,6.603705622799222e-06
20,13.605703976,2.3040170184632952e-06
21,14.085508090503225,2.241958195476699e-06
22,14.582232460651763,2.2170095096164966e-06
23,15.096473777791019,2.204431932422938e-06
24,15.62884977584816,2.201638841425746e-06
25,16.17999997284299,2.2065288021037175e-06
26,16.750586439610224,2.217214173763355e-06
27,17.341294594780777,2.232569825743042e-06
28,17.95283402792684,2.2512866136841184e-06
29,18.585939352639535,2.2723250960502322e-06
30,19.241371088450634,2.295356126118919e-06
31,19.91991657459164,2.318148027780976e-06
32,20.622390915454176,2.340029940580988e-06
33,21.349637960472748,2.360612961468543e-06
34,22.102531317205504,2.3785984485168204e-06
35,22.8819754008782,2.393124128363211e-06
36,23.688906520663643,2.400865708892725e-06
37,24.52429400500943,2.4146058276869545e-06
38,25.389141365333845,2.4009308415048733e-06
39,26.284487502035432,2.390291297886703e-06
40,27.211407952,2.3724216814336416e-06
41,28.17101618100645,2.353315912784002e-06
42,29.16446492116747,2.3246908682725954e-06
43,30.192947555582037,2.287008947021796e-06
44,31.25769955156026,2.240156882409237e-06
45,32.35999994582204,2.18379544742621e-06
46,33.50117287935651,2.1132180226242886e-06
47,34.682589189561554,2.0372831923413886e-06
48,35.90566805598974,1.955298660338457e-06
49,37.171878705415125,1.8609604427980811e-06
50,38.48274217703732,1.7631191653335326e-06
51,39.83983314904722,1.65926236654053e-06
52,41.24478183090835,1.2993700582228538e-06
53,42.69927592108156,1.1836125088989946e-06
54,44.20506263441101,1.0628287569520728e-06
55,45.76395080162035,9.302811519282548e-07
56,47.377813041327286,7.975918343484008e-07
57,49.04858801001886,6.643954489510348e-07
58,50.778282730803745,5.277301419413528e-07
59,52.568975004070865,3.87826259997885e-07
60,54.422815904,2.422847870934311e-07
61,56.342032362148956,2.0462873634198568e-07
62,58.328929842471,1.9519223578684794e-07
63,60.38589511102802,1.941709993349837e-07
64,62.51539910325658,1.9583711293400345e-07
65,64.71999989150801,1.983197473434046e-07
66,67.00234575871302,2.0103719868455951e-07
67,69.36517837912311,2.0382219185704317e-07
68,71.81133611184343,2.0663684371353265e-07
69,74.34375741083025,2.0948389733269836e-07
70,76.96548435393859,2.123802750200435e-07
71,79.67966629809445,2.1534943601541512e-07
72,82.4895636618167,2.184190620466454e-07
73,85.39855184202706,2.2162007837713352e-07
74,88.41012526895807,2.2498585851467507e-07
75,91.52790160337675,2.2855127109053607e-07
76,94.75562608279063,2.3235145962633572e-07
77,98.09717602017378,2.3642033054807743e-07
78,101.55656546147144,2.4078877817961714e-07
79,105.13795000814173,2.454827218797922e-07
80,108.845631808,2.505210698549929e-07
81,112.68406472416184,2.559137519056392e-07
82,116.65785968480594,2.616599762119476e-07
83,120.77179022205604,2.677468622640838e-07
84,125.03079820651315,2.741485840402174e-07
85,129.43999978301602,2.8082612629226124e-07
86,134.00469151742604,2.87727714752169e-07
87,138.73035675879046,2.9478993128715097e-07
88,143.62267222395897,3.019394715224762e-07
89,148.68751482111628,3.090954503233217e-07
90,153.9309687081493,3.1617211526794013e-07
91,159.3593325967331,3.2308179553910196e-07
92,164.97912732390552,3.29737897580192e-07
93,170.79710368350987,3.360577614769559e-07
94,176.82025053791614,3.419652127708728e-07
95,183.0558032072977,3.473926798197022e-07
96,189.511252165037,3.5228279157633465e-07
97,196.19435204061966,3.565894182679029e-07
98,203.11313092321498,3.602781620359727e-07
99,210.27590001628346,3.633263415399404e-07
100,217.691263616,3.657225408784013e-07
101,225.3681294488679,3.6746580871360496e-07
102,233.315719369884,3.6856459897313944e-07
103,241.54358044438416,3.6903554211495614e-07
104,250.06159641357056,3.6890212815533617e-07
105,258.8799995654878,3.6819337161689776e-07
106,268.0093830345799,3.6694251597708495e-07
107,277.4607135162203,3.651858221155568e-07
108,287.24534444791794,3.629614725285467e-07
109,297.3750296435931,3.6030861100645764e-07
110,307.8619374162986,3.572665267614261e-07
111,318.7186651921057,3.538739828818807e-07
112,329.95825464781103,3.50168681969275e-07
113,341.5942073683803,3.4618685687663377e-07
114,353.6405010758323,3.419629716360373e-07
115,366.1116064132348,3.375295165370204e-07
116,379.02250433143456,3.329168815915084e-07
117,392.3887040798788,3.2815329372973023e-07
118,406.22626184642996,3.232648047557103e-07
119,420.5518000325669,3.1827531884853836e-07
120,435.382527232,3.132066502318699e-07
121,450.7362588963753,3.080786032160303e-07
122,466.631438739768,3.029090682584166e-07
123,483.0871608887683,2.97714128840607e-07
124,500.1231928257805,2.925081750035704e-07
125,517.7599991323361,2.873040201593049e-07
126,536.0187660691598,2.821130185074829e-07
127,554.9214270324406,2.7694518093878264e-07
128,574.4906888944753,2.7180928780161716e-07
129,594.7500592858256,2.667129973001062e-07
130,615.7238748312366,2.6166294863353774e-07
131,637.437330385572,2.566648592678286e-07
132,659.9165092942615,2.517236159748961e-07
133,683.1884147367606,2.4684335946972944e-07
134,707.2810021516646,2.420275626016876e-07
135,732.2232128264696,2.3727910223130266e-07
136,758.0450086628691,2.3260032495807956e-07
137,784.7774081611182,2.2799310697285727e-07
138,812.4525236928599,2.2345890837301698e-07
139,841.1036000651338,2.1899882222684578e-07
140,870.765054464,2.146136187973912e-07
141,901.4725177927506,2.103037852627899e-07
142,933.2628774781754,2.0606956130233972e-07
143,966.1743217761763,2.0191097089796105e-07
144,1000.246385651561,1.9782785069246434e-07
145,1035.5199982646723,1.9381987521863447e-07
146,1072.0375321396803,1.8988657930301796e-07
147,1109.8428540648813,1.860273779241287e-07
148,1148.9813777903112,1.8224158378191482e-07
149,1189.5001185730118,1.7852842281345663e-07
150,1231.4477496638337,1.7488704788037183e-07
151,1274.8746607697833,1.7131655081261774e-07
152,1319.8330185898835,1.6781597299952453e-07
153,1366.3768294762424,1.6438431468099384e-07
154,1414.5620043087713,1.6102054308868954e-07
155,1464.446425647497,1.577235995648836e-07
156,1516.0900173257382,1.5449240578648644e-07
157,1569.554816319515,1.5132586916848133e-07
158,1624.905047388441,1.4822288758956794e-07
159,1682.2072001248252,1.451823534672002e-07
160,1741.530108928,1.4220315730853043e-07
161,1802.9450355909432,1.3928419075570508e-07
162,1866.5257549617932,1.3642434921784899e-07
163,1932.3486435577945,1.3362253412968427e-07
164,2000.4927713085644,1.3087765487377047e-07
165,2071.0399965239026,1.281886304202168e-07
166,2144.0750642766393,1.255543907150503e-07
167,2219.685708132484,1.229738778379255e-07
168,2297.9627555806223,1.2044604697881796e-07
169,2379.000237151466,1.179698672389096e-07
170,2462.8954993303887,1.1554432228002585e-07
171,2549.7493215395666,1.1316841085337355e-07
172,2639.6660371743246,1.1084114721255352e-07
173,2732.753658952485,1.0856156142735077e-07
174,2829.124008603937,1.0632869961302208e-07
175,2928.8928513086,1.0414162409031565e-07
176,3032.1800346514765,1.0199941347816402e-07
177,3139.10963263903,9.990116273087597e-08
178,3249.8100947632765,9.78459831328923e-08
179,3364.4144002632565,9.583300224902173e-08
180,3483.060217856,9.386136383815714e-08
181,3605.890071168281,9.193022774406315e-08
182,3733.0515099099807,9.003876975545701e-08
183,3864.6972871019834,8.818618144639432e-08
184,4000.9855426035233,8.637167000020573e-08
185,4142.079993061411,8.459445801677302e-08
186,4288.150128553279,8.285378330809872e-08
187,4439.371416264968,8.11488986860559e-08
188,4595.925511161245,7.947907173757799e-08
189,4758.000474289327,7.784358459874559e-08
190,4925.790998660777,7.624173372056487e-08
191,5099.498643079133,7.467282963133992e-08
192,5279.332074362255,7.313619670010396e-08
193,5465.507317891364,7.163117289319925e-08
194,5658.248017207874,7.015710953545966e-08
195,5857.7857026172,6.871337106777064e-08
196,6064.360069302953,6.729933480672022e-08
197,6278.2192652916665,6.591439070620013e-08
198,6499.620189540159,6.455794111966434e-08
199,6728.828800526513,6.322940056432507e-08
200,6966.120435712,6.192819548799502e-08
201,7211.780142350168,6.065376403902837e-08
202,7466.103019833567,5.940555583849671e-08
203,7729.394574217573,5.8183031755303076e-08
204,8001.971085207047,5.698566368557048e-08
205,8284.159986109216,5.581293433295455e-08
206,8576.300257120163,5.466433699517745e-08
207,8878.74283251633,5.3539375352094236e-08
208,9191.85102232249,5.243756325845498e-08
209,9516.000948578654,5.135842453821441e-08
210,9851.581997307949,5.030149278540378e-08
211,10198.997286158266,4.926631116557671e-08
212,10558.664148710905,4.825243222385096e-08
213,10931.014635782729,4.7259417692493974e-08
214,11316.496034429352,4.6286838306885156e-08
215,11715.5714052344,4.5334273620764293e-08
216,12128.720138592302,4.4401311827007723e-08
217,12556.438530569727,4.348754958240299e-08
218,12999.240379080318,4.2592591834279836e-08
219,13457.657601039418,4.1716051650599225e-08
220,13932.240871424,4.0857550055058415e-08
221,14423.560284645913,4.0016715864120175e-08
222,14932.206039694345,3.919318552734563e-08
223,15458.789148462356,3.83866029701495e-08
224,16003.942170468516,3.759661944227647e-08
225,16568.31997219122,3.682289336629754e-08
226,17152.60051429475,3.606509019178088e-08
227,17757.485664978238,3.532288224891165e-08
228,18383.702044617767,3.4595948610462585e-08
229,19032.00189721173,3.3883974950226176e-08
230,19703.163994615898,3.3186653409138e-08
231,20397.994572343745,3.250368246239727e-08
232,21117.32829747623,3.1834766788827945e-08
233,21862.029271538242,3.11796171435275e-08
234,22632.992068885917,3.053795023336316e-08
235,23431.1428104688,2.990948859390616e-08
236,24257.440277184603,2.9293960470335506e-08
237,25112.877061193878,2.8691099699723042e-08
238,25998.480758187845,2.810064559584213e-08
239,26915.315202106052,2.752234283698881e-08
240,27864.481742848,2.6955941355221495e-08
241,28847.12056942788,2.6401196228663763e-08
242,29864.412079252634,2.5857867575375442e-08
243,30917.578296788655,2.5325720449945766e-08
244,32007.884340800967,2.4804524741765052e-08
245,33136.6399445185,2.4294055075463204e-08
246,34305.20102845344,2.3794090713514677e-08
247,35514.97133009253,2.330441546138446e-08
248,36767.40408923553,2.2824817573065145e-08
249,38064.003794287404,2.235508966052173e-08
250,39406.327989231795,2.189502860331123e-08
251,40795.98914468749,2.144443546112789e-08
252,42234.656594816406,2.100311538755341e-08
253,43724.058543212544,2.0570877546482172e-08
254,45265.98413777183,2.014753502834921e-08
255,46862.2856209376,1.9732904770581925e-08
256,48514.88055436921,1.9326807478008756e-08
257,50225.754122251696,1.8929067544654535e-08
258,51996.96151623964,1.8539512979207763e-08
259,53830.630404212105,1.8157975329335907e-08
260,55728.963485696,1.7784289609190422e-08
