,E (eV),I (erg/s/cm**2)
0,6.802851988,0.0004979053441225206
1,7.042754045265218,0.0005159895733465009
2,7.2911162302986705,0.0005337282981158133
3,7.548236888881904,0.0005709651663513518
4,7.814424887910474,0.0005675402207098492
5,8.0899999864351,0.0005838823852808891
6,8.375293219832324,0.0005993657384525262
7,8.670647297390389,0.0006123619378075955
8,8.976417013977027,0.0006243420187384268
9,9.292969676346978,0.0006336463978489663
10,9.620685544252527,0.0006391542511051069
11,9.95995828726861,0.0006379293031484733
12,10.311195457727088,0.0006056552320256209
13,10.674818980263586,0.0005870581862511488
14,11.051265658616357,0.000558080280123134
15,11.440987700425495,0.000516469345612042
16,11.844453260345427,0.00045366208129549905
17,12.26214700251832,0.0003778447232693655
18,12.694570682694135,0.0002805347514719922
19,13.142243751017716,0.00015808272765943331
20,13.605703976,2.0670652366102133e-06
21,14.085508090503225,1.915305884470685e-06
22,14.582232460651763,1.8186043019992573e-06
23,15.096473777791019,1.7525585075503612e-06
24,15.62884977584816,1.712670118616689e-06
25,16.17999997284299,1.6949057518472393e-06
26,16.750586439610224,1.6957068868442868e-06
27,17.341294594780777,1.7119849692729266e-06
28,17.95283402792684,1.7411043878689235e-06
29,18.585939352639535,1.7808557841104091e-06
30,19.241371088450634,1.829421867073479e-06
31,19.91991657459164,1.8853376703028535e-06
32,20.622390915454176,1.9474471039616548e-06
33,21.349637960472748,2.014857734475365e-06
34,22.102531317205504,2.086895881779175e-06
35,22.8819754008782,2.1630642161572655e-06
36,23.688906520663643,2.243003908172298e-06
37,24.52429400500943,2.347297956178071e-06
38,25.389141365333845,2.4132713443060996e-06
39,26.284487502035432,2.503323362689076e-06
40,27.211407952,2.5965650993551257e-06
41,28.17101618100645,2.6929860589591525e-06
42,29.16446492116747,2.7926122606503017e-06
43,30.192947555582037,2.895499124649745e-06
44,31.25769955156026,3.001723047289892e-06
45,32.35999994582204,3.1113716595350616e-06
46,33.50117287935651,3.2245338169561364e-06
47,34.682589189561554,3.3412910710311933e-06
48,35.90566805598974,3.461712458282842e-06
49,37.171878705415125,3.5858539578473167e-06
50,38.48274217703732,3.7137627190745477e-06
51,39.83983314904722,3.845485729020968e-06
52,41.24478183090835,3.980895068135076e-06
53,42.69927592108156,4.1196008606987485e-06
54,44.20506263441101,4.259284878460647e-06
55,45.76395080162035,4.391152451474539e-06
56,47.377813041327286,4.4713673596347275e-06
57,49.04858801001886,4.418279115445179e-06
58,50.778282730803745,3.9984573272749645e-06
59,52.568975004070865,2.7151521312555456e-06
60,54.422815904,3.1444470708323306e-41
61,56.342032362148956,8.56870287197058e-40
62,58.328929842471,5.97049433149562e-38
63,60.38589511102802,3.435750424733637e-36
64,62.51539910325658,1.6195132486882943e-34
